Job_Title|Company_Name|Job_Location|Salary|Job_Description|Posting_Date|Company_Rating
PROGRAM ANALYST|US Department of the Navy|Arlington, VA|$102,367 - $135,047 a year|Your resume must demonstrate at least one year of specialized experience equivalent to the next lower grade level (GS-11/12) or pay band (NO-03) in the federal… |Just posted|4.3
Reporting Analyst|Accela Consulting Inc|Springfield, VA 22153|Missing|The Reporting Analyst will support data analysis, report generation, and capacity management processes and procedures. |Just posted|Missing
Oracle Federal Financials Functional / Business Analyst|Teracore|Reston, VA|Missing|Functional analyst with knowledge and experience in Oracle Accounts Receivable (AR) and Order Management Modules. Budget and Financial Management Services. |Just posted|3.6
Business Analyst I|640 Acres|Fredericksburg, VA|$70,000 a year|Must demonstrate the capability to gather and convert highly technical concepts and data into understandable, written narrative. |Just posted|Missing
Jr. Systems and Data Analyst #COVAentryleveljobs|Virginia Dept of Forestry|Charlottesville, VA 22903|$36,000 - $50,000 a year|Effectively communicates with agency staff. This role requires writing SQL queries and stored procedures to support customer requests and the ability to write… |Today|4.3
Program Analyst (Internal Controls)|US Department of the Interior|Sterling, VA 20166|$87,198 - $134,798 a year|The Bureau of Safety & Environmental Enforcement (BSEE) works to promote safety, protect the environment, and conserve resources offshore through vigorous… |Today|4.1
Research Analyst|Virginia Commonwealth University|Richmond, VA 23284 (VCU area)|$50,000 - $65,000 a year|The office provides necessary data governance to align reporting needs with business processes, ensures the highest level of data quality and provides data… |Today|4.1
Data and Financial Analyst|Atlantic Vision Partners|Richmond, VA 23219 (City Center area)|Missing|Build and manage planning data sets by organizing and analyzing a wide range of data sources. Perform quantitative analysis of operational and financial data. |Today|Missing
Senior Healthcare Data Analyst|Sentara Healthcare|Virginia Beach, VA|Missing|This position supports data quality and data stewardship functions to maintain data accuracy and identify new metrics. Required: Data Analysis - 3 years. |Today|3.8
Senior Data Analyst (Marketing Analytics)|Stand Together|Arlington, VA 22201 (Clarendon-Courthouse area)|Missing|Experience with data visualization tools: Tableau, PowerBi etc. Writing SQL Queries or using data preparation and advanced analytic tools to support analysis. |Today|3.9
Business Analyst|ThreatTec|Hampton, VA 23666 (Magruder Area area)|Missing|Use a variety of data analysis and organizational tools to analyze relevant data, and translate data presentation to other team members. |Today|3.7
Senior Programmer Analyst Expert|Virginia Dept of Taxation|Richmond, VA 23230|$99,000 a year|Working knowledge of data warehouse concepts. Familiar with 3 tier client server applications. Provide project support by analyzing and researching complex… |Today|Missing
Management and Program Analyst|US National Aeronautics and Space Administration|Hampton, VA (Langley Air Force Base area)|$109,411 - $142,232 a year|Serves as Management and Program Analyst (Business Manager) managing workforce planning, budget formulation, analysis, execution, and reporting. |Today|4.4
Healthcare Data Analyst|Sentara Healthcare|Virginia Beach, VA|Missing|This position supports data quality and data stewardship functions to maintain data accuracy and identify new metrics. Bachelor's Level Degree OR. |Today|3.8
Data Analyst|Infobahn Solutions Inc.|Alexandria, VA 22315|$70,000 - $80,000 a year|He/She will require to work across multiple data sources to understand existing data usage and implications for data migration. Job Types: Full-time, Contract. |Today|Missing
Business Analyst, Amazon Logistics|Amazon.com Services LLC|New York, NY|Missing|3+ years experience in a business analyst, data analyst or statistical analysis role. Background in statistics methodology, applications to business problems,… |Just posted|3.6
Senior Consultant / Business Analyst|DataCatalyst LLC|New York, NY 10036 (Garment District area)|Missing|2-5 years of previous experience in data management, analysis, or another related field. Promote best practices in data analysis and reporting. |Just posted|Missing
Group Manager, Business Analysis - Bass Team Private Equity*|BNY Mellon|New York, NY 10286 (Tribeca area)|Missing|Manages and provides direction to one or more teams of business analysts supporting one large system or multiple systems. |Just posted|3.5
Data Analyst|New York Hall of Science|Corona, NY 11368|$50,000 a year|The data analyst is responsible for analyzing quantitative and qualitative data about NYSCI’s on-site visitors and online customers, turning data into business… |Today|3.8
Lead Data Analyst, Product|Vimeo|New York, NY|Missing|Strong analytical skills, data sensibility, and an able communicator. Work alongside the BI team's analysts and our Core Product team to develop and enhance… |Today|Missing
Business Intelligence and Analytics Manager|New York University|New York, NY|Missing|The ability to synthesize data, uncover inherent trends in data, assess impacts of data on business usage and make recommendations for improvement is also… |Today|4.2
Asset Management, Middle Office Business Analyst / Project Manager, Associate|JPMorgan Chase Bank, N.A.|New York, NY|Missing|Demonstrable awareness of data governance and data strategy methodologies. Understanding of Investments data and market data supporting investment processes. |Today|3.9
Data Analyst|Dashlane|New York, NY 10010 (Flatiron District area)|Missing|Our analysts span the full data cycle from data collection to business recommendations and use advanced technologies to process and report the data. |Today|4.0
Data Analyst|SRC, Inc.|Syracuse, NY|Missing|SRC, Inc. is currently seeking a data analyst who will be responsible for developing analytical solutions for the procurement organization. |Today|4.0
